title,journal,date,abstract
Silver Modified Degussa P25 for the Photocatalytic Removal of Nitric Oxide,International Journal of Photoenergy,2007,"A study of the photocatalytic behaviour of silver modified titanium dioxide materials for the decomposition and reduction of nitric oxide (NO) gas has been carried out. The effects of silver loading, calcination temperature, and reaction conditions have been investigated. Prepared photocatalysts were characterised using XRD, TEM, and XPS. A continuous flow reactor was used to determine the photocatalytic activity and selectivity of NO decomposition in the absence of oxygen as well as NO reduction using CO as the reducing agent, over the prepared photocatalysts. XRD and TEM analysis of the photocatalysts showed that crystalline silver nitrate particles were present on the titanium dioxide surface after calcination at temperatures of up to 200âˆ˜C. The silver nitrate particles are thermally decomposed to form metallic silver clusters at higher temperatures. XPS analysis of the photocatalysts showed that for each of the temperatures used, both Ag+ and Ag0 were present and that the Ag0/Ag+ ratio increased with increasing calcination temperature. The presence of metallic silver species on the TiO2 surface dramatically increased the selectivity for N2 formation of both decomposition and reduction reactions. When CO was present in the reaction gas, selectivities of over 90% were observed for all the Ag-TiO2 photocatalysts that had been calcined at temperatures above 200âˆ˜C. Unfortunately these high selectivities were at the expense of photocatalytic activity, with lower NO conversion rates than those achieved over unmodified TiO2 photocatalysts."
Oxygen reduction at electrochemically deposited crystallographically oriented Au(1Â 0Â 0)-like gold nanoparticles,Electrochemistry Communications,2005,"A novel electrocatalyst for oxygen reduction has been proposed based on the electrodeposition of Au nanoparticles onto glassy carbon (nano Au/GC) electrodes in the presence of some additives, typically cysteine. Steady-state hydrodynamic voltammetric studies for the oxygen reduction reaction (ORR), in O2-saturated 0.5 M KOH solution, at the thus-prepared nano Au/GC disk electrode have revealed an increasing disk current (ID) (current maxima) up to âˆ’0.5 V vs. Ag/AgCl/KCl(sat) compared to the other nano Au/GC disk electrodes prepared under different conditions. This high value (maxima) of ID is associated with a low value of the corresponding Pt ring current (IR) and in turn a higher number of electrons (n) is exchanged at the disk electrode during the ORR in alkaline medium in this potential window. At more cathodic potentials, this disk current maxima vanished and the nano Au/GC disk current showed a minimal value associated with a significant increase in IR. This resembles the behaviour of the ORR at single crystalline Au(1Â 0Â 0) disk electrodes in the similar media. Thus, a 4-electron reduction of oxygen to water can be accomplished at a reasonably low cathodic overpotential. Keywords: Alkaline fuel cells, Reduction of oxygen, Gold single crystals, Gold nanoparticles, Crystallographic orientation, Electrodeposition"
Application of silver-tin dioxide composite cathode catalyst for enhancing performance of microbial desalination cell,Materials Science for Energy Technologies,2018,"Microbial desalination cell (MDC) is a novel bioelectrochemical system, capable of removing salts and organic matter from wastewater simultaneously. For improving the performance, a carbon supported silver-tin dioxide (Ag-SnO2) composite was synthesized and used as cathode catalyst in a five-chambered MDC (MDC-1). The results were compared with MDC-2 having no catalyst on the cathode. Saline water with a NaCl concentration of 20â€¯g/L was used to evaluate the desalination efficiency of both the MDCs. The electrochemical studies such as cyclic voltammetry and linear sweep voltammetry of the cathode of MDC-1 revealed the superior reduction kinetics. Increased desalination efficiency was observed in MDC-1 (72.6â€¯Â±â€¯3.0%) due to presence of Ag-SnO2 catalyst as compared to MDC-2 (57.9â€¯Â±â€¯8.6%). Maximum power density of 1.47â€¯W/m3, demonstrated by MDC-1, was noted to be 1.67 times higher than that of MDC-2 (0.88â€¯W/m3). In addition, the coulombic efficiency of MDC-1 was observed to be 14.4â€¯Â±â€¯0.2%, which was significantly higher than that observed in MDC-2 (9.5â€¯Â±â€¯0.3%). Performance results confirmed the excellent catalytic activity of Ag-SnO2 composite catalyst to be used on the cathode of MDCs, to take forward this cutting-edge technology for field scale application. Keywords: Cathode catalyst, Desalination, Microbial desalination cell, Microbial fuel cell, Oxygen reduction reaction"
Partida de um reator anaerÃ_bio horizontal para tratamento de efluentes do processamento dos frutos do cafeeiro Start-up of an anaerobic horizontal-flow reactor for treating wastewater from a coffee fruits processing,Engenharia AgrÃ_cola,2009,"O presente estudo teve o objetivo de avaliar a partida e a adaptaÃ§Ã£o de um reator anaerÃ_bio horizontal de leito fixo (RAHLF) no tratamento de Ã¡guas residuÃ¡rias do processamento primÃ¡rio dos frutos do cafeeiro (ARC). O reator foi construÃ_do com tubos de PVC de 0,2 m de diÃ¢metro e 3,2 m de comprimento. O sistema foi preenchido com cubos de espuma de poliuretano para imobilizaÃ§Ã£o de biomassa ativa. O reator apresentou volume total de 0,1 mÂ_ e volume Ãºtil equivalente a 0,04 mÂ_. Em mÃ©dia, houve remoÃ§Ã£o de 49% da matÃ©ria orgÃ¢nica, com o reator trabalhando sob carga orgÃ¢nica volumÃ©trica mÃ©dia de 2,66 kg m-3 d-1, medida como DQO. A suplementaÃ§Ã£o de alcalinidade, somada Ã  inoculaÃ§Ã£o prÃ©via de biomassa, proporcionou partida estÃ¡vel do RAHLF, confirmada pelo consumo de Ã¡cidos volÃ¡teis e adaptaÃ§Ã£o da microbiota ao resÃ_duo. O sistema apresentou resistÃªncia Ã s variaÃ§Ãµes de vazÃ£o e de carga orgÃ¢nica observadas, e os teores de fenol e potÃ¡ssio monitorados nÃ£o causaram inibiÃ§Ã£o da atividade biolÃ_gica no RAHLF. O maior controle sobre as variaÃ§Ãµes de carga Ã© fator importante na continuidade dos estudos.<br>This study aimed to evaluate the start-up and the adaptation of an anaerobic horizontal-flow immobilized biomass (HAIB) reactor in order to treat wastewater from a primary processing of coffee fruits. The reactor was built with PVC tubes of 0.2 m in diameter and 3.2 m in length. The system was filled with cubes of polyurethane foam for immobilization of active biomass. The reactor presented a total capacity of 0.1 mÂ_ and reaction volume equal to 0.04 mÂ_. 49% of organic matter. Removal efficiency was observed, with medium organic volumetric loads equal to 2.66 kg m-3 d-1 (as chemical oxygen demand). The supplementary addition of alkalinity and the previous biomass inoculation provided a stable start-up of the reactor, as confirmed by the reduction of volatile acids and an adaptation of the present microbiology community. The systems showed resistance to changes in flow and in the organic load observed; the levels of phenol and potassium monitored did not cause inhibition of the biological activity. A better control on the changes in load rates is an important topic for the next studies."
Oxygen-Containing Nanoclusters on the Surface of Pt-Electrodes and Oxygen Reduction Reaction in Alkaline Medium,International Journal of Electrochemistry,2018,"Analysis of the role of oxygen-containing nanoclusters in oxygen reduction reaction (ORR) on Pt-electrodes in alkaline media is provided on the basis of the concept of electrochemical processes with slowed stage of consecutive heterogeneous chemical reaction (ConHCR). Under the ConHCR concept, the main factor determining the ORR characteristics is energetic inhomogeneity of electrode surface (EIES) according to Temkin. A new concept, according to which EIES is determined by the Gibbs energy of formation of oxygen-containing surface structures with inclusions of surface defects of the platinum crystal structure, Pts,d, is formulated. A correlation between the level of EIES of Pt-electrodes and packing density of Pts,d atoms on the surface of Pt(hkl) monocrystals is determined. The concept, according to which the stationary potential of ORR process is considered as a â€œmixed potentialâ€ù of two reactions (electrochemical reduction of surface atom PtIIs,d and consecutive oxidation of PtIs,d by molecular oxygen), is substantiated. It is proposed that the formation of surface nanocluster transition state [âÅ_(OO)PtIIs,d(OH)] defines the rate of the entire ORR process on Pt-electrodes in alkaline media."
Nitrogen-doped carbon-based electrocatalysts synthesised by ball-milling,Electrochemistry Communications,2018,"Herein, for the first time, ball-milling of carbon materials (e.g. graphite, graphene oxide or graphene) in the presence of dicyandiamide (DCDA) followed by heat treatment at 800â€¯Â°C was employed to synthesise N-doped carbons for the oxygen reduction reaction (ORR) in alkaline medium. The obtained results highlight that: i) the N-doped nanocarbon catalysts synthesis process employed herein is easy and could be used without hazardous solvents; ii) X-ray photoelectron spectroscopy indicated successful N-doping, iii) N-doped graphite and graphene are Mn-free as confirmed by the ICP-MS analysis, iv) the ORR electrocatalytic activity depends on the carbon source used for the catalyst preparation and v) all the N-doped nanocarbons revealed better ORR performance than the undoped materials. Keywords: Ball-milling, Graphene, Oxygen reduction, Nitrogen-doping, Electrocatalysis"
Oxygen reduction activity dependence on the mesoporous structure of imprinted carbon supports,Electrochemistry Communications,2010,"Two mesoporous carbons (with 15 (CIC-15) and 26Â nm (CIC-26) diameter pores) were synthesized using a silica colloid imprinting method, loaded with 10Â wt.% Pt, and then evaluated (against Vulcanâ„¢ carbon (VC)) as oxygen reduction (ORR) catalysts for use in proton exchange membrane fuel cells. Both Pt/CICs reproducibly out-performed Pt/VC, with Pt/CIC-15 demonstrating higher ORR activity than Pt/CIC-26, despite its smaller pore size and lower surface area. Transmission electron tomography showed that the Pt nanoparticles (4â€“5Â nm diameter) are fully deposited throughout the pores of the CICs and that the pore distribution in CIC-26 is partially ordered, while CIC-15 shows no ordering of its pores. Importantly, using the powerful imaging capabilities of transmission electron tomography, a first-time correlation is demonstrated between the ORR activity and the wall thickness of the carbon support materials. Pt/CIC-15 has significantly thicker walls, giving a lower measured electronic resistance, a lower ORR Tafel slope, and thus better performance overall compared to Pt/CIC-26. Keywords: Oxygen reduction reaction, Proton exchange membrane fuel cell, Pt/mesoporous carbon, Transmission electron tomography, Colloidal imprinting"
"Synthesis and characterization of Ln2O2SO4 (Ln = Gd, Ho, Dy and Lu) nanoparticles obtained by coprecipitation method and study of their reduction reaction under H2 flow",Journal of Nanostructure in Chemistry,2017,"Abstract We have proposed an optimized homogeneous precipitation method for the synthesis of spherical and well-dispersed pure Ln2O2SO4 (Ln = Gd, Ho, Dy and Lu) nanoparticles (NPs) using synthesized lanthanide sulfates and urea as starting materials. Ln2O2SO4 NPs can be easily transformed to Ln2O2S by reduction under H2 flow at 650Â Â°C for Gd, Dy and Ho whereas the reduction with Lu gave only Lu2O3. Particle size was between 500Â nm and 3.5Â Âµm. This reduction method allows to obtain Ln2O2S without using H2S which is highly toxic and uncomfortable gas. Ln2O2SO4/Ln2O2S synthetized can be used for release and oxygen storage or doped with luminescent centers for multimodal medical imaging applications. Graphical abstract"
One-step synthesis of carbon-supported Pdâ€“Pt alloy electrocatalysts for methanol tolerant oxygen reduction,Electrochemistry Communications,2008,"A facile, one-step reduction route was developed to synthesize Pd-rich carbon-supported Pdâ€“Pt alloy electrocatalysts of different Pd/Pt atomic ratios. As-prepared Pdâ€“Pt/C catalysts exhibit a single phase fcc structure and an expansion lattice parameter. Comparison of the oxygen reduction reaction (ORR) on the Pdâ€“Pt/C alloy catalysts indicates that the Pd3Pt1/C bimetallic catalyst exhibits the highest ORR activity among all the Pdâ€“Pt alloy catalysts and shows a comparative ORR activity with the commercial Pt/C catalyst. Moreover, all the Pdâ€“Pt alloy catalysts exhibited much higher methanol tolerance during the ORR than the commercial Pt/C catalyst. High methanol tolerance of the Pdâ€“Pt alloy catalysts could be attributed to the weak adsorption of methanol induced by the composition effect, to the presence of Pd atoms and to the formation of Pd-based alloys. Keywords: One-step reduction, Pdâ€“Pt alloy, Oxygen reduction reaction, Electrocatalysis, Methanol tolerance"
Preparation of Graphite Oxide Containing Different Oxygen-Containing Functional Groups and the Study of Ammonia Gas Sensitivity,Sensors,2018,"A series of graphite oxide samples were prepared using the modified Hummers method. Flake graphite was used as the raw material and the reaction temperature of the aqueous solution was changed (0 &#176;C, 30 &#176;C, 50 &#176;C, 60 &#176;C, 70 &#176;C, 80 &#176;C, and 100 &#176;C). X-ray diffraction, Fourier-transform infrared spectroscopy, Raman spectral analysis, X-ray photoelectron spectroscopy, and contact angle tests were performed to characterize the structure, chemical bonding, type, and content of oxygen-containing functional groups of the graphite oxide samples. The results showed that the type and content of each oxygen-containing functional group could be controlled by changing the reaction temperature with the addition of water. As the temperature of the system increased, the degree of oxidation of the graphite oxide samples first increased and then decreased. Too high a temperature (100 &#176;C) of the system led to the formation of epoxy groups by the decomposition of some hydroxyl groups in the samples, causing the reduction of oxygen-containing functional groups between the graphite layers, poor hydrophilic properties, and low moisture content. When the system temperature was 50 &#176;C, the interlayer spacing of the graphite oxide samples was at its highest, the graphite was completely oxidized (C/O = 1.85), and the oxygen-containing functional groups were mainly composed of hydroxyl groups (accounting for approximately 28.88% of the total oxygen-containing functional groups). The high content of hydroxyl and carboxyl groups had good hydrophilic ability and showed the highest moisture content. The sample at 50 &#176;C had better sensitivity to ammonia because of its high hydroxyl group and carboxyl group content, with the sample showing an excellent profile when the ammonia concentration was 20&#8315;60 ppm."
Oxygen reduction at platinum nanoparticles supported on carbon cryogel in alkaline solution,Journal of the Serbian Chemical Society,2007,"The oxygen reduction reaction was investigated in 0.1 M NaOH solution, on a porous coated electrode formed of Pt particles supported on carbon cryogel. The Pt/C catalyst was characterized by the X-ray diffraction (XRD), transmission electron microscopy (TEM) and cyclic voltammetry techniques. The results demonstrated a successful reduction of Pt to metallic form and homogenous Pt particle size distribution with a mean particle size of about 2.7 nm. The ORR kinetics was investigated by linear sweep polarization at a rotating disc electrode. The results showed the existence of two E â€“ log j regions, usually referred to polycrystalline Pt in acid and alkaline solution. At low current densities (lcd), the Tafel slope was found to be close to â€“2.3RT/F, while at high current densities (hcd) it was found to be close to â€“2Ã—2.3RT/F. It is proposed that the main path in the ORR mechanism on Pt particles was the direct four-electron process, with the transfer of the first electron as the rate determining step. If the activities are expressed through the specific current densities, a small enhancement of the catalytic activity for Pt/C was observed compared to that of polycrystalline Pt. The effect of the Pt particle size on the electrocatalysis of oxygen reduction was ascribed to the predominant (111) facets of the platinum crystallites."
A new medium system containing sodium dodecyl sulfate suitable for studying superoxide and its reaction in aqueous solution,Electrochemistry Communications,2001,"Polarographic responses of the dissolved oxygen in phosphate (pH 7.4)-anion surfactant sodium dodecyl sulfate (SDS) medium were investigated by cyclic voltammetry and normal pulse voltammetry. The obtained results indicate that when the SDS concentration is up to 1.0Ã—10âˆ’4 mol/l there are three reduction waves corresponding to the following electrode processes of oxygen species: O2+eâ†’O2.âˆ’, O2.âˆ’+2HA+eâ†’H2O2+2Aâˆ’ and H2O2+2HA+2eâ†’2H2O+2Aâˆ’ (where HA presents proton donor), which is different from that in aqueous solution containing such surfactants as triphenylphosphine oxide or quinoline. This new medium system is available for studying the chemical reaction and kinetics of scavenging O2.âˆ’ by low molecular weight organic compounds and drugs, and was used to investigate the dismutation of O2âˆ’ catalyzed by tyrosine. The reaction rate constant of O2âˆ’ with tyrosine determined, 2.69Ã—104l/mol/s, is in agreement with that obtained by quenching chemiluminescence. The model of electric field concerned with the anion surfactant on electrode surface was proposed. It is suggested that there is, for SDS, an additional contribution to the inhibition of O2âˆ’ diffusion from the electrode towards bulk solution by the electric field in ion exchange layer formed by ionogenic groups of the adsorbed surfactant molecule, besides the anhydrous environment of electrode surface caused by adsorption of the anion surfactant. Keywords: Superoxide anion, Electrogeneration, Dismutation, Voltammetry, Tyrosine"
Applications of lignin-derived catalysts for green synthesis,Green Energy & Environment,2019,"This review intends to introduce the application of lignin-derived catalyst for green organic synthesis over latest two decades and aims to present a renewable alternative for conventional catalyst for future industry application. The structure of lignin is initially introduced in this review. Then, various pretreatment and activation technologies of lignin are systematically presented, which includes physical activation for the formation of well-developed porosity and chemical activation to introduce catalytic active sites. Finally, the catalytic performances of various lignin-derived catalysts are rationally assessed and compared with conventional catalysts, which involves lignin-derived solid acids for hydrolysis, hydration, dehydration (trans)esterification, multi-component reaction and condensation, lignin-derived solid base for Knoevenagel reaction, lignin-derived electro-catalysts for electro-oxidation, oxygen reduction reaction, and lignin-derived supported transition metal catalysts for hydrogenation, oxidation, coupling reaction, tandem reaction, condensation reaction, ring-opening reaction, Friedel-Crafts-type reaction, Fischerâ€“Tropsch synthesis, click reaction, Glaser reaction, cycloaddition and (trans)esterification. The above lignin-derived catalysts thus successfully promote the transformations of organic compounds, carbon dioxide, biomass-based cellulose, saccharide and vegetable oil into valuable chemicals and fuels. At the end of this review, some perspectives are given on the current issues and tendency on the lignin-derived catalysts for green chemistry. Keywords: Catalyst, Green chemistry, Lignin, Pretreatment, Synthesis"
Metal Oxides Applied to Thermochemical Water-Splitting for Hydrogen Production Using Concentrated Solar Energy,ChemEngineering,2019,"Solar thermochemical processes have the potential to efficiently convert high-temperature solar heat into storable and transportable chemical fuels such as hydrogen. In such processes, the thermal energy required for the endothermic reaction is supplied by concentrated solar energy and the hydrogen production routes differ as a function of the feedstock resource. While hydrogen production should still rely on carbonaceous feedstocks in a transition period, thermochemical water-splitting using metal oxide redox reactions is considered to date as one of the most attractive methods in the long-term to produce renewable H<sub>2</sub> for direct use in fuel cells or further conversion to synthetic liquid hydrocarbon fuels. The two-step redox cycles generally consist of the endothermic solar thermal reduction of a metal oxide releasing oxygen with concentrated solar energy used as the high-temperature heat source for providing reaction enthalpy; and the exothermic oxidation of the reduced oxide with H<sub>2</sub>O to generate H<sub>2</sub>. This approach requires the development of redox-active and thermally-stable oxide materials able to split water with both high fuel productivities and chemical conversion rates. The main relevant two-step metal oxide systems are commonly based on volatile (ZnO/Zn, SnO<sub>2</sub>/SnO) and non-volatile redox pairs (Fe<sub>3</sub>O<sub>4</sub>/FeO, ferrites, CeO<sub>2</sub>/CeO<sub>2&#8722;&#948;</sub>, perovskites). These promising hydrogen production cycles are described by providing an overview of the best performing redox systems, with special focus on their capabilities to produce solar hydrogen with high yields, rapid reaction rates, and thermochemical performance stability, and on the solar reactor technologies developed to operate the solid&#8722;gas reaction systems."
Onion-like graphitic nanoshell structured Feâ€“N/C nanofibers derived from electrospinning for oxygen reduction reaction in acid media,Electrochemistry Communications,2013,"Hollow onion-like graphitic nanoshell structured Feâ€“N/C nanofiber (Feâ€“N/CNF) catalyst with porous morphology was prepared by heat treating as-spun polyacrylonitrile/ferrous oxalate composite nanofibers in ammonia atmosphere for the first time. These porous electrocatalyst showed both excellent catalytic activity for oxygen reduction reaction (ORR) and much better stability than commercial Pt/C catalyst in acid solution. The Feâ€“N/CNF catalysts developed here could be easily fabricated on a large scale and show high potential in proton exchange membrane fuel cells (PEMFCs). Keywords: Feâ€“N/C nanofibers, Electrocatalysts, Onion-like carbon, Electrospinning, Oxygen reduction reaction"
Towards Highly Performing and Stable PtNi Catalysts in Polymer Electrolyte Fuel Cells for Automotive Application,Materials,2017,"In order to help the introduction on the automotive market of polymer electrolyte fuel cells (PEFCs), it is mandatory to develop highly performing and stable catalysts. The main objective of this work is to investigate PtNi/C catalysts in a PEFC under low relative humidity and pressure conditions, more representative of automotive applications. Carbon supported PtNi nanoparticles were prepared by reduction of metal precursors with formic acid and successive thermal and leaching treatments. The effect of the chemical composition, structure and surface characteristics of the synthesized samples on their electrochemical behavior was investigated. The catalyst characterized by a larger Pt content (Pt3Ni2/C) presented the highest catalytic activity (lower potential losses in the activation region) among the synthesized bimetallic PtNi catalysts and the commercial Pt/C, used as the reference material, after testing at high temperature (95 Â°C) and low humidification (50%) conditions for automotive applications, showing a cell potential (ohmic drop-free) of 0.82 V at 500 mAÂ·cmâˆ’2. In order to assess the electro-catalysts stability, accelerated degradation tests were carried out by cycling the cell potential between 0.6 V and 1.2 V. By comparing the electrochemical and physico-chemical parameters at the beginning of life (BoL) and end of life (EoL), it was demonstrated that the Pt1Ni1/C catalyst was the most stable among the catalyst series, with only a 2% loss of voltage at 200 mAÂ·cmâˆ’2 and 12.5% at 950 mAÂ·cmâˆ’2. However, further improvements are needed to produce durable catalysts."
On the Influence of Composition and Structure of Carbon-Supported Pt-SnO<sub>2</sub> Hetero-Clusters onto Their Electrocatalytic Activity and Durability in PEMFC,Catalysts,2019,"A detailed study of the structure, morphology and electrochemical properties of Pt/C and Pt/x-SnO<sub>2</sub>/C catalysts synthesized using a polyol method has been provided. A series of catalysts supported on the SnO<sub>2</sub>-modified carbon was synthesized and studied by various methods including transmission electron microscopy (TEM), X-ray diffraction (XRD), X-ray photoelectron spectroscopy (XPS), electrochemical methods, and fuel cell testing. The SnO<sub>2</sub> content varies from 5 to 40 wt %. The TEM images, XRD and XPS analysis suggested the Pt-SnO<sub>2</sub> hetero-clusters formation. The SnO<sub>2</sub> content of ca. 10% ensures an optimal catalytic layer structure and morphology providing uniform distribution of Pt-SnO<sub>2</sub> clusters over the carbon support surface. Pt/10wt %-SnO<sub>2</sub>/C catalyst demonstrates increased activity and durability toward the oxygen reduction reaction (ORR) in course of accelerated stress testing due to the high stability of SnO<sub>2</sub> and its interaction with Pt. The polymer electrolyte membrane fuel cell current&#8722;voltage performance of the Pt/10wt %-SnO<sub>2</sub>/C is comparable with those of Pt/C, however, higher durability is expected."
Nitrogen-Doped Hollow Carbon Spheres with Embedded Co Nanoparticles as Active Non-Noble-Metal Electrocatalysts for the Oxygen Reduction Reaction,C,2018,"Transition metal (Fe, Co, Ni) complexes on carbon nanomaterials are promising candidates as electrocatalysts towards the oxygen reduction reaction (ORR). In this paper, nitrogen-doped hollow carbon spheres with embedded Co nanoparticles were successfully prepared via a controllable synthesis strategy. The morphology characterization shows that the hollow carbon spheres possess an average diameter of ~150 nm with a narrow size distribution and a shell thickness of ~14.5 nm. The content of N doping ranges from 2.1 to 6.6 at.% depending on the calcination temperature from 900 to 1050 Â°C. Compared with commercial Pt/C, the Co-containing nitrogen-doped hollow carbon spheres prepared at 900 Â°C (CoNHCS-900) as an ORR electrocatalyst shows a half-wave potential shift of only âˆ†E1/2 = 55 mV, but a superior stability of about 90.2% maintenance after 20,000 s in the O2-saturated 0.1 M KOH at a rotating speed of 1600 rpm. This could be ascribed to the synergistic effects of N-containing moieties, Co-Nx species, and Co nanoparticles, which significantly increase the density of active sites and promote the charge transfer during the ORR process."
A Review: Role of oxidative stress in male infertility,Journal of Fasa University of Medical Sciences,2013,"Recent studies have shown that reactive oxygen species (ROS) have a very important role in the intracellular signaling process in physiological conditions. On the other hand, during the recent decade it has been indicated that ROS play a role in various types of male infertility and it is due to the overproduction of ROS or decrease in the antioxidant defense system in the reproductive system and sperm. In pathological conditions, ROS via interferences in the spermatogenesis process, sperm function, and sperm structure (motility, viability, acrosome reaction, sperm-oocyte fusion, and damage to DNA and cell membrane) as well as reduction in fertilization and implantation can lead to infertility. Knowledge of how ROS affect the physiological process of the reproductive system is crucial in the treatment of infertility. Thus, in this review article we will discuss experimental and clinical findings related to the effects of ROS on male fertility. "
Exogenous melatonin improves salt tolerance in tomato by regulating photosynthetic electron flux and the ascorbateâ€“glutathione cycle,Journal of Plant Interactions,2019,"Melatonin (MT) can protect plants against abiotic stress. In order to explore whether melatonin can improve photosynthetic function under NaCl stress, Solanum lycopersicum L. cv. Liaoyuanduoli were exposed to 150â€…mmolâ€…Lâˆ’1 NaCl stress with or without pretreatment with 150â€…Î_molâ€…Lâˆ’1 melatonin. The results showed that NaCl stress can lead to reduced chlorophyll content, lower photosynthetic function, increased reaction oxygen species (ROS) levels, and decreased PSII activity. These changes were mainly due to the reduction in oxygen-evolving complex (OEC) activity on the donor side of PSII and the blockage of electron transfer from QA to QB on receptor side of PSII. The donor side of PSII was more sensitive to NaCl stress relative to the receptor side of PSII. Interestingly, application of MT enhanced tomato NaCl tolerance. MT reduced the production of ROS by balancing the distribution of photosynthetic electron flux, facilitated the repair of PSII by maintaining the abundance of Psb O and D1, and promoting the ability of the donor and acceptor sides of PSII to deliver electrons. MT also enhanced the scavenging ability of ROS by stimulating the activity of enzymes involved in the AsA-GSH cycle."
Substrate Crossover Effect and Performance Regeneration of the Biofouled Rotating Air-Cathode in Microbial Fuel Cell,Frontiers in Energy Research,2018,"In case of conventional two-dimensional air-cathodes in microbial fuel cells, biofouling usually covers the catalytic-layer side after a long-term operation and results in performance decrease mainly by obstructing the transfer of OHâˆ’ ions. This study on a biofouled three-dimensional rotating air-cathode (bio-RAC), demonstrates that besides the OHâˆ’ effect, substrate crossover acts as a key hindrance to the air-cathode performance. MFC operation and cyclic voltammogram results revealed that about 35% performance decrease of the bio-RAC performance was caused by the obstruction of oxygen and OHâˆ’ transfer. It decreased further by 26.8 and 52.7% in the presence of 3 and 10 mM acetate, respectively, thereby clearly suggesting the impact of substrate crossover on the oxygen reduction reaction at the bio-RAC. In particular, high substrate concentrations exceeded the effect caused by obstruction of oxygen and OHâˆ’ transfer on the oxygen reduction catalysis. A simple approach of applying a high-speed rotation of about 500 rpm to the biofouled air cathode was proved to be able to recover 85% of the initial performance of the bio-RAC."
"Nitrogen, cobalt-codoped carbon electrocatalyst for oxygen reduction reaction using soy milk and cobalt salts as precursors",Electrochemistry Communications,2013,"Nitrogen and cobalt codoped carbon electrocatalyst using soy milk and cobalt salts as precursors has been examined for its electrocatalytic activity toward oxygen reduction reaction (ORR). Carbon dots (C-d) were first synthesized via hydrothermal treatment of soy milk. Then, cobalt (II) nitrate was incorporated with C-d via heat treatment to generate nitrogen and cobalt codoped carbon composites (Co/C). When polypyrrole was introduced in the synthetic process, carbon composites with higher nitrogen and cobalt contents (Co/N/C) than Co/C were obtained, which exhibited high electrocatalytic activity, excellent methanol crossover effect, and good stability toward ORR in alkaline solutions. Keywords: Oxygen reduction reaction, N, Co-codoped carbon electrocatalyst, Soy milk, Cobalt salts, Carbon dots, Polypyrrole"
Kinetics of pellet reduced by H<sub>2</sub> and the mixture of CO and H<sub>2</sub> ,Metalurgija,2018,"Canadian hematite acid pellet with low magnetite and olivine contents were isothermally reduced by hydrogen and carbon monoxide at 600 to 1 000 Â°C. Pellet reduction was investigated by a thermo gravimetric analysis measuring oxygen weight loss as a function of time. Then macroscopic and microscopic examinations, X-ray and carbon analyses were also used to elucidate the mechanisms of pellet reduction. Activation energy is around 27 kJ/mol for H<sub>2</sub> atmospheres and is about 15 kJ/mol for the mixture of H<sub>2</sub> and CO. Carbon producing from CO disproportionation reaction performs a catalyzer at the final reduction of pellet."
Heterogeneous Bimetallic Cuâ€“Ni Nanoparticle-Supported Catalysts in the Selective Oxidation of Benzyl Alcohol to Benzaldehyde,Catalysts,2019,"Three bimetallic Cu&#8722;Ni nanoparticle-supported catalysts were synthesized by co-immobilization followed by H<sub>2</sub> reduction. A chromium(III) terephthalate metal organic framework (MIL-101), titanium dioxide (TiO<sub>2</sub>), and carbon (C) with different properties (acidity and Brunauer&#8722;Emmett&#8722;Teller surface area) were selected as supports for studying the effect of the support nature on the catalytic activity and selectivity in the oxidation of benzyl alcohol. The physicochemical properties of the Cu&#8722;Ni-supported catalysts were characterized by XRD, NH<sub>3</sub>-TPD, nitrogen adsorption/desorption, TEM, EDS, XPS, and ICP-OES. Bimetallic Cu&#8722;Ni nanoparticles were highly dispersed on the support. The catalytic activities of CuNi/MIL-101, CuNi/TiO<sub>2</sub>, and CuNi/C were tested in the selective oxidation of benzyl alcohol to benzaldehyde in the presence of molecular oxygen under mild reaction conditions. The highest benzaldehyde yields were achieved with CuNi/TiO<sub>2</sub>, CuNi/MIL-101, and CuNi/C catalysts at 100 &#176;C within 4 h under 5, 3, and 3 bar of O<sub>2</sub>, respectively. The bimetallic Cu&#8722;Ni-supported catalysts possessed two types of catalytic active sites: acid sites and bimetallic Cu&#8722;Ni nanoparticles. The CuNi/MIL-101 catalyst possessed a high number of acid sites and exhibited high yield during selective benzyl alcohol oxidation to benzaldehyde. Importantly, the catalysts exhibited a high functional group (electron-donating and electron-withdrawing groups) tolerance. Cu&#8722;Ni-supported catalysts with an Cu:Ni mole ratio of 1:1 exhibited the highest yield of 47% for the selective oxidation of benzyl alcohol to benzaldehyde. Reusability and leaching experiment results exhibited that CuNi/MIL-101 showed better stability than CuNi/TiO<sub>2</sub> and CuNi/C catalysts due to the large porous cavities of MIL-101 support; these cavities can be used to trap bimetallic Cu&#8722;Ni nanoparticles and inhibit nanoparticle leaching."
